Area,Item,2000,2010,2015,2020,Land Area(Km2),2000 Population,2010 Population,2015 Population,2020 Population,2000/area,2010/area,2015/area,2020/area,2000/pop,2010/pop,2015/pop,2020/pop
Kuwait,All sectors without LULUCF,55770.0,93290.0,101030.0,106260.0,17818.0,1934901.0,2943356.0,3908743.0,4360444.0,3.1299809181726346,5.235716690986643,5.6701088786620275,5.96363228196206,0.028823180100687323,0.03169511265371909,0.02584718412031694,0.024369078011321783
Kyrgyzstan,All sectors without LULUCF,4773.0,6512.0,10458.0,10683.0,199951.0,4935182.0,5483774.0,5914980.0,6424874.0,0.02387084835784767,0.03256797915489295,0.052302814189476424,0.05342808988202109,0.0009671375847942386,0.0011875033507945441,0.0017680533154803566,0.0016627563435485271
Latvia,All sectors without LULUCF,7132.19,8746.341,15050.18,6548.0388,64589.0,2392530.0,2101530.0,1991955.0,1897052.0,0.11042422084255832,0.13541533388038213,0.2330146000092895,0.10138009258542477,0.002981024271377997,0.004161892050077801,0.007555481926047526,0.0034516917828293584
Lebanon,All sectors without LULUCF,15490.284,19990.117,25810.0053,17940.0,10400.0,4320642.0,4995800.0,6398940.0,5662923.0,1.4894503846153846,1.9221266346153845,2.481731278846154,1.725,0.0035851810911433995,0.004001384563032948,0.004033481373477483,0.0031679752664834043
Lesotho,All sectors without LULUCF,1855.61,2285.95,2336.29,2296.66,30355.0,1998630.0,2022747.0,2118521.0,2254100.0,0.061130291549991764,0.07530719815516389,0.07696557404052051,0.07566002306045132,0.0009284409820727198,0.0011301215624099305,0.0011027929390362427,0.0010188811499046181
Liberia,All sectors without LULUCF,437.7,780.2,1226.0,1443.0,111369.0,2895224.0,4019956.0,4612329.0,5087584.0,0.003930178056730329,0.007005540141331969,0.011008449388968205,0.012956926972496835,0.0001511800123237442,0.0001940817262676507,0.0002658093123886002,0.0002836316805776573
Libya,All sectors without LULUCF,49660.0,64240.0,49290.0,42970.0,1759540.0,5154790.0,6491988.0,6192235.0,6653942.0,0.02822328563147186,0.036509542266728805,0.02801300339861555,0.024421155529286063,0.009633758116237519,0.009895273990032021,0.00795996921951444,0.006457826052586572
Lithuania,All sectors without LULUCF,12531.2,14471.29,15415.97,15361.85,65300.0,3599637.0,3139019.0,2963765.0,2820267.0,0.1919019908116386,0.221612404287902,0.2360791730474732,0.23525038284839203,0.003481239913913542,0.004610131381810687,0.0052014818988685,0.005446948817257373
Luxembourg,All sectors without LULUCF,8578.0,10922.0,9169.0,8129.0,2586.0,435628.0,507070.0,569408.0,630399.0,3.3170920340293892,4.223511214230472,3.545630317092034,3.1434648105181746,0.01969111260065928,0.021539432425503383,0.016102689108688322,0.012895007764923486
Madagascar,All sectors without LULUCF,1913.5,2008.0,3558.0,3653.0,587041.0,16216431.0,21731053.0,24850912.0,28225177.0,0.0032595679007088093,0.0034205447319693174,0.006060905456348024,0.00622273401687446,0.00011799760378840449,9.240233319572687e-05,0.00014317381993868072,0.00012942345764563318
Malawi,All sectors without LULUCF,899.7,1066.0,1110.0,1316.0,118484.0,11229387.0,14718422.0,16938942.0,19377061.0,0.007593430336585531,0.008996995374902941,0.009368353532966476,0.01110698490935485,8.012013478562988e-05,7.242624243278254e-05,6.552947639823078e-05,6.791535620391554e-05
Malaysia,All sectors without LULUCF,130041.7,212857.8,250566.2,262274.2,329847.0,22945150.0,28717731.0,31068833.0,33199993.0,0.3942485455377796,0.645322831494602,0.7596437136005482,0.7951389583655453,0.005667502718439408,0.007412068871318559,0.00806487324451485,0.007899826966830987
Maldives,All sectors without LULUCF,454.31,939.25,1305.9,1667.71,298.0,282507.0,361575.0,435582.0,514438.0,1.524530201342282,3.1518456375838926,4.382214765100671,5.596342281879195,0.0016081371435044088,0.0025976630021434005,0.002998057770982272,0.003241809508628834
