Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Equatorial Guinea,All sectors without LULUCF,2762.61,8795.0,8653.0,6973.0,7310.0,Equatorial Guinea,28051.0,0.09848525899254928,0.3135360593205233,0.30847385119960075,0.2485829382196713,0.2605967701686214
Eritrea,All sectors without LULUCF,608.8,770.7,501.5,658.1,676.0,Eritrea,117600.0,0.005176870748299319,0.006553571428571429,0.004264455782312925,0.00559608843537415,0.005748299319727891
Estonia,All sectors without LULUCF,17072.01,19123.518,20989.22,20408.343,15987.326,Estonia,45228.0,0.37746550809233215,0.42282475457681085,0.4640757937560803,0.45123248872379945,0.35348293092774385
Eswatini,All sectors without LULUCF,1214.16,1014.16,1024.38,984.78,899.08,Eswatini,17364.0,0.06992398064961991,0.05840589725869615,0.05899447131997236,0.05671389080856945,0.05177839207555863
Ethiopia,All sectors without LULUCF,3529.618,5035.758,6425.926,12801.15,15521.37,Ethiopia,1104300.0,0.003196249207642851,0.00456013583265417,0.00581900389386942,0.011592094539527302,0.014055392556370552
Fiji,All sectors without LULUCF,839.9,1039.82,1148.63,2060.5,2601.3,Fiji,18274.0,0.045961475320126954,0.05690160884316515,0.06285597023092919,0.11275582795228194,0.14234978658202913
Finland,All sectors without LULUCF,53810.0,56640.0,64400.0,45410.0,36960.0,Finland,338145.0,0.15913291635245236,0.16750210708423902,0.1904508420943678,0.13429150216623045,0.1093022224193763
France,All sectors without LULUCF,392000.0,416610.0,384590.0,342210.0,281750.0,France,643801.0,0.6088838010503246,0.6471098988662646,0.5973740332804702,0.5315462386669173,0.43763523200492077
Gabon,All sectors without LULUCF,6418.156,6333.185,5899.225,6670.273,5353.315,Gabon,267667.0,0.023978137013528,0.023660686599394024,0.02203941838179529,0.02492004244079397,0.019999906600365377
Gambia,All sectors without LULUCF,282.71,334.89,438.9,531.3,677.9,Gambia,11300.0,0.02501858407079646,0.029636283185840707,0.03884070796460177,0.04701769911504424,0.059991150442477874
Georgia,All sectors without LULUCF,5698.0,6051.0,7124.2,10540.0,9650.0,Georgia,69700.0,0.0817503586800574,0.08681492109038738,0.10221233859397418,0.15121951219512195,0.13845050215208035
Germany,All sectors without LULUCF,870492.0,831984.0,794375.0,760367.0,603759.0,Germany,357022.0,2.438202687789548,2.3303437883379736,2.2250029409952328,2.12974830682703,1.6910974673829624
Ghana,All sectors without LULUCF,6470.0,6983.0,9915.0,16590.0,19860.0,Ghana,238533.0,0.027124129575362737,0.029274775397953322,0.041566575693929145,0.06955012513991775,0.08325892014941329
Greece,All sectors without LULUCF,92160.139,99811.37,85134.53,67623.63,52182.03,Greece,131957.0,0.6984103836855945,0.7563931432208977,0.6451687292072418,0.5124671673348137,0.3954472290215752
Grenada,All sectors without LULUCF,191.921,217.08,261.15,261.1,267.13,Grenada,349.0,0.5499169054441261,0.6220057306590259,0.7482808022922636,0.748137535816619,0.7654154727793696
Guatemala,All sectors without LULUCF,9852.0,12170.0,11200.0,15620.0,14080.0,Guatemala,108889.0,0.09047745869647071,0.11176519207633462,0.10285703790098173,0.1434488332154763,0.12930599050409133
Guinea,All sectors without LULUCF,1532.9,1878.1,2543.0,2504.5,3577.4,Guinea,245857.0,0.0062349251800843586,0.007638993398601626,0.01034341100721151,0.010186815913315463,0.0145507347767198
Guinea-Bissau,All sectors without LULUCF,153.36,220.41,246.23,287.56,389.98,Guinea-Bissau,36125.0,0.004245259515570934,0.006101314878892734,0.006816055363321799,0.007960138408304498,0.01079529411764706
Guyana,All sectors without LULUCF,1753.853,1624.48,1894.859,2014.222,2357.127,Guyana,214969.0,0.008158632174871725,0.007556810516865222,0.008814568612218505,0.009369825416687988,0.010964962389925989
Haiti,All sectors without LULUCF,1362.5,2077.0,2123.0,3223.0,3104.0,Haiti,27750.0,0.0490990990990991,0.07484684684684685,0.07650450450450451,0.11614414414414415,0.11185585585585586
Honduras,All sectors without LULUCF,5024.9,7687.2,8053.1,10264.2,9623.3,Honduras,112090.0,0.044829155143188505,0.06858060487108573,0.07184494602551521,0.09157105897047016,0.08585333214381301
Hungary,All sectors without LULUCF,58509.7,60730.6,53310.0,47481.5,49594.0,Hungary,93028.0,0.6289471986928666,0.6528206561465365,0.5730532742830116,0.5104000945951757,0.5331083114761147
Iceland,All sectors without LULUCF,2947.37,3215.8,3831.68,3751.66,3001.7,Iceland,103000.0,0.0286152427184466,0.031221359223300972,0.037200776699029124,0.03642388349514563,0.02914271844660194
India,All sectors without LULUCF,1078600.0,1282900.0,1767200.0,2394200.0,2501200.0,India,3287263.0,0.32811490896834233,0.3902638760573766,0.5375900863423462,0.7283262702132443,0.760876145291691
